LithologyCode,LithNumber,OldIDNumber,Unnamed: 3,LAT,NS,LONG,EW,Continent,Country,Unnamed: 10,GeogComments,LMU,Period,Stage,AgeComments,Lithology,Formation,LithComments,PrimaryReference,SeeAlso
E,1,E510,,28.0,N,-8.5,W,Africa,Morocco,,Tindouf Basin,Middle,Devonian,Givetian,,Evaporite,,,Hollard(1967),
E,2,E512,,30.0,N,102.0,E,Asia,China,,"Yangtze:Kangding and Tianquan,western Sichuan",Middle,Devonian,,,Evaporite,,"in S. pt. of Longmeng Bay paleogeographicaly, are relatively close to coals",Wang Hong-zhen(1985),
E,3,E513,,80.0,N,101.0,E,Asia,C. I. S.(frm USSR),,Siberian Platform:N. Siberian Basin incl. Sevemaya Zemlya,Middle,Devonian,,,Evaporite,,,"Zharkov(1981, Figs. 5,20, pp. 19-23, 108-109; 1984, Fig. 35)",
E,4,E513.1,,72.0,N,90.0,E,Asia,C. I. S.(frm USSR),,Siberian Platform:N. Siberian Basin incl. Sevemaya Zemlya,Middle,Devonian,,,Evaporite,,,"Zharkov(1981, Figs. 5,20, pp. 19-23, 108-109; 1984, Fig. 35)",
E,5,E513.2,,68.0,N,100.0,E,Asia,C. I. S.(frm USSR),,Siberian Platform:N. Siberian Basin incl. Sevemaya Zemlya,Middle,Devonian,,,Evaporite,,,"Zharkov(1981, Figs. 5,20, pp. 19-23, 108-109; 1984, Fig. 35)",
E,6,E513.3,,73.0,N,115.0,E,Asia,C. I. S.(frm USSR),,Siberian Platform:N. Siberian Basin incl. Sevemaya Zemlya,Middle,Devonian,,,Evaporite,,,"Zharkov(1981, Figs. 5,20, pp. 19-23, 108-109; 1984, Fig. 35)",
E,7,E513.4,,65.0,N,130.0,E,Asia,C. I. S.(frm USSR),,Siberian Platform:N. Siberian Basin incl. Sevemaya Zemlya,Middle,Devonian,,,Evaporite,,,"Zharkov(1981, Figs. 5,20, pp. 19-23, 108-109; 1984, Fig. 35)",
E,8,E514,,62.0,N,138.0,E,Asia,C. I. S.(frm USSR),,Siberian Platform:Sette Daban,Middle,Devonian,,,Evaporite,,,"Zharkov(1981, Figs. 5,20, pp. 19-23, 108-109; 1984, Fig. 35)",
E,9,E515,,65.0,N,147.0,E,Asia,C. I. S.(frm USSR),,Siberian Platform:Omulevsk Mountians,Middle,Devonian,,,Evaporite,,,"Zharkov(1981, Figs. 5,20, pp. 19-23, 108-109; 1984, Fig. 35)",
E,10,E516,,69.0,N,87.0,E,Asia,C. I. S.(frm USSR),,Siberian Platform:Norilsk District,Middle,Devonian,,,Evaporite,,,"Zharkov(1981, Figs. 5,20, pp. 19-23, 108-109; 1984, Fig. 35)",
E,11,E517,,74.0,N,112.0,E,Asia,C. I. S.(frm USSR),,Siberian Platform:Nordvik District,Middle,Devonian,,,Evaporite,,,"Zharkov(1981, Figs. 5,20, pp. 19-23, 108-109; 1984, Fig. 35)",
E,12,E518,,62.0,N,118.0,E,Asia,C. I. S.(frm USSR),,Siberian Platform:Kempeendyai Depression,Middle,Devonian,,,Evaporite,,,"Zharkov(1981, Figs. 5,20, pp. 19-23, 108-109; 1984, Fig. 35)",
E,13,E519,,54.0,N,92.0,E,Asia,C. I. S.(frm USSR),,Siberian Platform:Minusinsk Basin,Middle,Devonian,,,Evaporite,,,"Zharkov(1981, Figs. 5,20, pp. 19-23, 108-109; 1984, Fig. 35)",
E,14,E520,,67.0,N,135.0,E,Asia,C. I. S.(frm USSR),,Central and Eastern Asia:Verkhoyansk-Chukotsk District,Middle,Devonian,,,Evaporite,,,"Zharkov(1981, Figs. 5,20, pp. 19-23,  1984, Fig. 35)",
E,15,E521,,52.0,N,95.0,E,Asia,C. I. S.(frm USSR),,Central and Eastern Asia: Tuva Basin,Middle,Devonian,,,Evaporite,,,"Zharkov(1981, Figs. 5,20, pp. 19-23,  1984, Fig. 35)",
E,16,E523,,-25.0,S,144.0,E,Australia,Queensland,,Adavale Basin,Middle,Devonian,,,Evaporite,(Boree Salt Member-Etonville),,Tanner(1967)(Auchincloss(1976;))and Wells(1980),
E,17,E524,,-30.0,S,142.0,E,Australia,,,S. Australia:Bancannia Trough,Middle,Devonian,,,Evaporite,,,Wells(1980),
E,18,E525,,-15.0,S,129.0,E,Australia,,,Western Australia;Bonaparte Gulf Basin,Middle,Devonian,,,Evaporite,,,Wells(1980),
E,19,E526,,-18.0,S,124.0,E,Australia,,,Western Australia:Canning Basin,Middle,Devonian,,,Evaporite,,,Wells(1980),
E,20,E527,,-26.0,S,113.0,E,Australia,,,Western Australia:Carnarvon Basin,Middle,Devonian,,,Evaporite,,,Wells(1980),
E,21,E528,,51.0,N,5.0,E,Europe,"Belgium, N. France",,French Basin of N. France and adjacent Belium,Middle,Devonian,Givetian,,Evaporite,,,"Rouchy et al.(1987; De Putter et al.,1994)",
E,22,E529,,58.5,N,-3.5,W,United Kingdom,Scotland,,Caithness,Middle,Devonian,,,Evaporite,,authigenic aegirine,"Fortey,Michie(1978)",
E,23,E530,,59.0,N,-3.0,W,United Kingdom,Scotland,,Orkneys,Middle,Devonian,Givetian,,Evaporite,,"lacustrine, evaporitic gypsum pseudomorphs","Parnell,Janaway(1990)","Marshal et al.,1996,provides more evidence for Givetian age evaporites and arid conditions frm the Orkneys"
E,24,E531,,59.5,N,1.0,E,United Kingdom,,,North Sea,Middle,Devonian,early Givetian,,Evaporite,,lacustrine evaporites,"Duncan,Buxton(1995)",
E,25,E531.1,,56.0,N,2.5,E,,N,,North Sea,,,,,,,,,
E,26,E533,,45.0,N,27.0,E,Asia,C. I. S.(frm USSR),,Rumania,Middle,Devonian,Eifel and Givet,,Evaporite,,,"Zharkov(1981, Figs. 5,20, pp. 23-26, 108-111; 1984, Fig. 40)",
E,27,E533.1,,49.0,N,17.0,E,Europe,Czech Republic,,"near Znojma,southeastern Czech Republic",Middle,Devonian,Givetian,,Evaporite,,,"Batik,Skocek(1981)",
E,28,E534,,55.0,N,3.0,E,Europe,,,North Sea:Central North Sea Graben,Middle,Devonian,Givetian,,Evaporite,,,"Ziegler(1982,Encl. 7)",
E,29,E536,,51.0,N,22.0,E,Europe,Poland,,Lublin Basin,Middle,Devonian,Eifelian and Givetian,,Evaporite,,,"Ziegler(1988, Pl.23)",
E,30,E537,,51.0,N,20.0,E,Europe,Poland,,Holy Cross Mountians,Middle,Devonian,Eifelian and Givetian,,Evaporite,,,"Ziegler(1988, Pl.23)",
E,31,E538,,44.0,N,25.0,E,Europe,Rumania,,Moesian-Wallachian Basin ,Middle,Devonian,,,Evaporite,,,Zharkov(1981),
E,32,E540,,60.0,N,-116.0,W,N. America,Canada,,"Alberta,Manitoba,Saskatchewan,Yukon Ter.,Dist. of Mackenzie ",Middle,Devonian,Eifelian and Givetian,,Evaporite,,including those of the Williston Basin,"Douglas et al.(1970),Eifelian(Fig.VIII-14),Givetian(Fig. VIII-15)",
E,33,E541,,55.0,N,-115.0,W,N. America,Canada,,"Alberta,Manitoba,Saskatchewan,Yukon Ter.,Dist. of Mackenzie ",Middle,Devonian,Eifelian and Givetian,,Evaporite,,including those of the Williston Basin,"Douglas et al.(1970),Eifelian(Fig.VIII-14),Givetian(Fig. VIII-15)",
E,34,E542,,50.0,N,-120.0,W,N. America,Canada,,"Alberta,Manitoba,Saskatchewan,Yukon Ter.,Dist. of Mackenzie ",Middle,Devonian,Eifelian and Givetian,,Evaporite,,including those of the Williston Basin,"Douglas et al.(1970),Eifelian(Fig.VIII-14),Givetian(Fig. VIII-15)",
E,35,E543,,60.0,N,-85.0,W,N. America,Canada,,Hudson and Moose River Basins,Middle,Devonian,,,Evaporite,,,"Sanford(1974,1987)and Sanford,Norris(1975)",Muir(1990) provides details on the Givtian Williams Island frm.
E,36,E544,,53.0,N,-80.0,W,N. America,Canada,,Hudson and Moose River Basins,Middle,Devonian,,,Evaporite,,,"Sanford(1974,1987)and Sanford,Norris(1975)",Muir(1990) provides details on the Givtian Williams Island frm.
E,37,E545,,50.0,N,-103.0,W,N. America,Canada,,"Williston Basin:Alberta,British Columbia,Saskatchewan",Middle,Devonian,,,Evaporite,Prairie Provinces,,Pearson(1963),
E,38,E546,,42.0,N,-93.0,W,N. America,United States,,"Iowa,Missouri,Nebraska",Middle,Devonian,,,Evaporite,Wapsipinicon,,Collinson(1967),
E,39,E546.1,,42.0,N,-94.0,W,N. America,United States,,"Iowa,Missouri,Nebraska",Middle,Devonian,,,Evaporite,Coralville,,"Witzke,Bunker(1997)",
E,40,E548,,38.0,N,-115.0,W,N. America,United States,,"Nevada & Utah:eastern Nevada,adjacent W. Utah, N. Utah",Middle,Devonian,Eifelian and Givetian,,Evaporite,,,Johnson et al.(1988),
E,41,E549,,48.0,N,-103.0,W,N. America,United States,,North Dakota:Williston Basin,L - M,Devonian,,,Evaporite,,,Reed(1963),
E,42,E550,,31.0,N,-104.0,W,N. America,United States,,Texas,Middle,Devonian,,,Evaporite,Caballos Novaculite,indirect evidence,"Folk(in McBride,Folk,1977)",
CA,43,CA551,,-75.0,S,160.0,E,Antarctica,,,Victoria Land,Upper,Devonian,,dated by means of Groenlandaspis,Calcrete,,,"McPherson(1979,1980)",
CA,44,CA552,,21.0,N,107.0,E,Asia,Vietnam,,Do Son Peninsula,M - U,Devonian,Givetian-L. Devonian,,Calcrete,Doson,calcrete-like structures,Janvier et al.(1987),
CA,45,CA553,,51.0,N,5.0,E,Europe,Belgium,,Aredenne,Middle,Devonian,Lower Givetian,,Calcrete,,,Molenaar(1984),
CA,46,CA553.1,,61.5,N,5.5,E,Europe,Norway,,,Middle,Devonian,,,Calcrete,Kvamsheten Group,,Osmundsen et al.(2001),
CA,47,CA554,,58.5,N,-3.5,W,United Kingdom,Scotland,,,Middle,Devonian,,,Calcrete,,,"Friend,Williams(1978, p. 24)",
CA,48,CA554.1,,58.0,N,-118.0,W,N. America,Canada,,Alberta:north central Alberta ,Middle,Devonian,Givetian,,Calcrete,,,"Williams,Krause(1998)",
CA,49,CA555,,73.0,N,-24.0,W,N. America,Greenland,,,Middle,Devonian,,,Calcrete,Vailddal and Kap Kolthoff supergroups,,"Friend et al.(1976, p. 43-46)",
C,50,C555.1,,23.0,N,23.0,E,Africa,Libya,,Kufra Basin,M  - U,Devonian,,,Coals,Binem,,"Bellini et al.(1991, p. 2169)",
C,51,C556,,26.0,N,103.0,E,Asia,China,,"near Luquan County,Yunnan",Middle,Devonian,,,Coals,Haikou,,Han De-xin(1989),
C,52,C557,,27.0,N,102.0,E,Asia,China,,Huaping,Middle,Devonian,,,Coals,Haikou,,Han De-xin(1989),
C,53,C558,,24.0,N,108.0,E,Asia,China,,from Guangxi at the Daminshan,Middle,Devonian,,,Coals,Donggangling,,Han De-xin(1989),
C,54,C559,,23.0,N,110.5,E,Asia,China,,in Guangdong at Fengkai,Middle,Devonian,,,Coals,Donggangling,,Han De-xin(1989),
C,55,C560,,56.0,N,86.0,E,Asia,C. I. S.(frm USSR),,"Barzas,Kemerovo",Middle,Devonian,,,Coals,,,"Petroconsulttants(1977),Rijks Geologische Dienst(1982)",
C,56,C561.1,,78.0,N,18.0,E,Europe,Svalbard,,,Middle,Devonian,Eifelian-Givetian,,Coals,Estheriahaugen Member-Mimer Valley,cannel coal,"Harland(1997, p. 137)",
C,57,C562,,78.0,N,-95.0,W,N. America,Artic Canada,,,Middle,Devonian,Givetian,,Coals,,,"Rickette,Embry(1984)",
C,58,C563,,75.0,N,-108.0,W,N. America,Artic Canada,,,Middle,Devonian,Givetian,,Coals,Weatherall Bay,,Goodarzi et al.(1989),
C,59,C563.1,,40.0,N,-89.0,W,N. America,United States,,Illinois:central Illinois,Middle,Devonian,Givetian,,Coals,Wapsipinicon,thin coals,"Peppers,Damberger(1969)",
C,60,C563.2,,42.0,N,-91.5,W,N. America,United States,,Iowa,Middle,Devonian,Givetian,,Coals,Cedar Valley,anomalous coal,Sanders(1966-1967),
B,61,B566,,65.0,N,60.0,E,Asia,C. I. S.(frm USSR),,"Subrovsk,northern Urals",Middle,Devonian,"Eifelian,some Givetian",,Bauxite,,,"Bardossy(1982, Appendix 1) ",see also Tkachenko et al.(1980)
