LithologyCode,LithNumber,OldIDNumber,,LAT,NS,LONG,EW,Continent,Country,,GeogComments,LMU,Period,Stage,AgeComments,Lithology,Formation,LithComments,PrimaryReference,SeeAlso
E,1,E696,,32,N,-4,W,Africa,Algeria,,Tindouf Basin,Middle,Mississippian,,,Evaporites,,,Cavaroc et al.(1976),
E,2,E697,,28,N,9,E,Africa,Algeria,,"central Sahara, btwn Bourarhet and Ohanet",Middle,Mississippian,Visean,,Evaporites,,,"De Lapparent,Lelubre(1948)",
E,3,E698,,28,N,-7,W,Africa,Algeria,,"Tindouf Basin,the Reggane depression",Middle,Mississippian,Visean,,Evaporites,,,Sonatrach(1979),"see also Perrodon,Teissereno(1965)"
E,4,E698.1,,29,N,33.3,E,Africa,Egypt,,,Middle,Mississippian,M. Visean,,Evaporites,Um Bogma,,Sharkawi et al.(1990),which Kora assigns to the Middle Visean
E,5,E699,,25,N,15,E,Africa,Libya,,eastern flank of the Murzuk Basin,M - U,Mississippian,Visean-Serpukhovian,,Evaporites,Assedjefar,,"Vachard,Massa(1979)",
E,6,E699.1,,25.75,N,10.75,E,Africa,Libya,,,Lower,Mississippian,Tournaisian,,Gypsum,Mrar,,"Youshah,El Hatimi(2000)",
E,7,E700,,22,N,-4,W,Africa,Mali,,,M - U,Mississippian,"Visean, (basal Tournaisian)",,Evaporites,"Hamada Safia,(Bir en Nahgrat Nahgrat) ",,Legrand-Blain(1985),
E,8,E701,,31,N,-5,W,Africa,Morocco,,Tarfaya Province,Middle,Mississippian,Visean,,Evaporites,,,Fellahi et al.(1970),
E,9,E701.1,,22,N,-4,W,Africa,Morocco,,Taoudenni Basin,Middle,Mississippian,L. Visean,,Evaporites,Hamada Safia,,Legrand-Blain(1985),
E,10,E702,,18,N,7,E,Africa,Niger,,Iullemmeden Basin,Lower,Mississippian,,,Evaporites,Dinantian,,"Greigert(1966, p. 23)",
E,11,E703,,17,N,8,E,Africa,Niger,,,Middle,Mississippian,Visean,,Evaporites,Serie du Talach,,"Greigert(1966, p. 23)",
E,12,E703.1,,25,N,15,E,Africa,Niger,,eastern Djado Basin,Middle,Mississippian,Visean,,Evaporites,Mrar,,"Mergl,Massa(2002)",
E,13,E704,,40,N,78,E,Asia,China,,"Tarim,Xijiang,Qinghai:Bachu",Lower,Mississippian,,,Evaporites,"Bachu,Kaladhayi",,Guan Shi-cong et al.(1984),
E,14,E705,,41,N,89,E,Asia,China,,"Tarim,Xijiang,Qinghai:Kulutage",Lower,Mississippian,,,Evaporites,Nugusitubulake,,Guan Shi-cong et al.(1984),
E,15,E706,,41.5,N,80,E,Asia,China,,"Tarim,Xijiang,Qinghai:Wensu",Lower,Mississippian,,,Evaporites,Yeyungou,,Liao Wei-hua et al.(1990),
E,16,E707,,40.5,N,83.3,E,Asia,China,,"Tarim,Xijiang,Qinghai:Mangar,Xinjiang",Lower,Mississippian,Tournaisian,,Halites,Bachu,,unpublished data
E,17,E708,,40.5,N,84.7,E,Asia,China,,"Tarim,Xijiang,Qinghai:south of Luntai",Lower,Mississippian,,,Halites,Bachu,,unpublished data
E,18,E709,,41.4,N,83.2,E,Asia,China,,"Tarim,Xijiang,Qinghai:Kucha,Xinjiang",Lower,Mississippian,Tournaisian,,Gypsum,Bachu,,unpublished data
E,19,E710,,40.5,N,83.3,E,Asia,China,,"Tarim,Xijiang,Qinghai:Mangar",Lower,Mississippian,Tournaisian,,Gypsum,Bachu,,unpublished data
E,20,E711,,38.5,N,83.5,E,Asia,China,,"Tarim,Xijiang,Qinghai:Chimo,Xinjiang",Lower,Mississippian,Tournaisian,,Gypsum,Bachu,,unpublished data
E,21,E712,,40.5,N,84.7,E,Asia,China,,"Tarim,Xijiang,Qinghai:south of Luntai",Middle,Mississippian,Visean,,Gypsum,Bachu,,unpublished data
E,22,E713,,41.3,N,83.3,E,Asia,China,,"Tarim,Xijiang,Qinghai:Shaya,Xinjiang",Lower,Mississippian,Tournaisian,,Gypsum,Bachu,,He et al.(1992)
E,23,E714,,41,N,84,E,Asia,China,,"Tarim,Xijiang,Qinghai:Maigaiti,Xinjiang",Lower,Mississippian,Tournaisian,,Evaporites,Bachu,,He et al.(1992)
E,24,E715,,40.6,N,79.9,E,Asia,China,,"Tarim,Xijiang,Qinghai:Awati,Xinjiang",Lower,Mississippian,Tournaisian,,Gypsum,Bachu,,Wu(1991)
E,25,E716,,38,N,76.3,E,Asia,China,,"Tarim,Xijiang,Qinghai:Shache,Xinjiang",Lower,Mississippian,Tournaisian,,Gypsum,Kelitaige,,Wu(1991)
E,26,E717,,42.1,N,85.1,E,Asia,China,,"Tarim,Xijiang,Qinghai:Luntai,Xinjiang",L - M,Mississippian,"Tournaisian,Visean",,Gypsum,"Yeyungou,Bachu",,Wu(1991)
E,27,E718,,42.1,N,87.5,E,Asia,China,,"Tarim,Xijiang,Qinghai:Heshuo,Xinjiang",Middle,Mississippian,Visean,,Gypsum,Yeyungou,,Wu(1991)
E,28,E719,,41.7,N,88.5,E,Asia,China,,"Tarim,Xijiang,Qinghai:Turpan,Xinjiang",Middle,Mississippian,Visean,,Gypsum,Yeyungou,,Wu(1991)
E,29,E720,,41.6,N,88.3,E,Asia,China,,"Tarim,Xijiang,Qinghai:Tokexun,Xinjiang",Middle,Mississippian,Visean,,Gypsum,Yeyungou,,The Compiling Group of the Regional Stratigraphy Chart of Xinjiang(1981)
E,30,E720.1,,37.5,N,76.25,E,Asia,China,,"Tarim,Xijiang,Qinghai:Kunlun Mountians",Lower,Mississippian,Tournaisian,,Gypsum,,,"Chen,Shi(1999)"
E,31,E721,,38.8,N,96,E,Asia,China,,"Tarim,Xijiang,Qinghai:Wulan,Qinghai",L - M,Mississippian,"Tournaisian,Visean",,Gypsum,"Chouniugou,Chengqiangou",,The Bureau of Geology and Mineral Resources of Qinghai Province(1991)
E,32,E722,,39,N,97.1,E,Asia,China,,"Tarim,Xijiang,Qinghai:Tianjun,Qinghai",Middle,Mississippian,Visean,,Gypsum,"Chouniugou,Chengqiangou",,The Bureau of Geology and Mineral Resources of Qinghai Province(1991)
E,33,E723,,36.4,N,95,E,Asia,China,,"Tarim,Xijiang,Qinghai:Geermu,Xinghai",Middle,Mississippian,Visean,,Gypsum,Wulonggou,,The Bureau of Geology and Mineral Resources of Qinghai Province(1991)
E,34,E723.1,,41,N,79,E,Asia,China,,"Tarim,Xijiang,Qinghai:from the Biedeier River to Kumalike",Lower,Mississippian,,,Gypsum,Yeyungou,,"Liang Yun-hai,Li Wen-qian(2000)"
E,35,E724,,37.5,N,105,E,Asia,China,,Chaidam:Zhongwei,Lower,Mississippian,,,Evaporites,,,Wang Hong-zhen(1985)
E,36,E725,,37,N,105,E,Asia,China,,Chaidam:Jingyuan,Lower,Mississippian,,,Evaporites,,,Wan Zhen-ji(1990)
