LithologyCode,LithNumber,OldIDNumber,Unnamed: 3,LAT,NS,LONG,EW,Continent,Country,Unnamed: 10,GeogComments,LMU,Period,Stage,AgeComments,Lithology,Formation,LithComments,PrimaryReference,SeeAlso
E,1,E6650,,34.0,N,6.0,E,Africa,,,,,,,,Evaporites,,,,
E,2,E6651,,27.5,N,33.5,E,Africa,,,,,,,,,,,,
E,3,E6652,,0.0,,40.0,E,Africa,,,,,,,,,,,,
E,4,E6652.1,,2.5,N,37.0,E,Africa,,,,,,,,,,,,
E,5,E6653,,32.0,N,-5.0,W,Africa,,,,,,,,,,,,
E,6,E6654,,32.0,N,-7.0,W,Africa,,,,,,,,,,,,
E,7,E6654.1,,32.5,N,-5.0,W,Africa,,,,,,,,,,,,
E,8,E6655,,29.0,N,33.0,E,Africa,,,,,,,,,,,,
E,9,E6656,,25.0,N,36.0,E,Africa,,,,,,,,,,,,
E,10,E6657,,9.0,N,50.0,E,Africa,,,,,,,,,,,,
E,11,E6658,,-22.0,S,35.0,E,Africa,,,,,,,,,,,,
E,12,E6662,,24.0,N,54.0,E,Asia,,,,,,,,,,,,
E,13,E6659,,34.5,N,69.7,E,Asia,,,,,,,,,,,,
E,14,E6663,,40.0,N,85.0,E,Asia,,,,,,,,,,,,
E,15,E6664,,38.0,N,91.0,E,Asia,,,,,,,,,,,,
E,16,E6665,,37.0,N,90.0,E,Asia,,,,,,,,,,,,
E,17,E6666,,43.0,N,89.0,E,Asia,,,,,,,,,,,,
E,18,E6667,,43.0,N,88.0,E,Asia,,,,,,,,,,,,
E,19,E6668,,36.0,N,104.0,E,Asia,,,,,,,,,,,,
E,20,E6669,,40.0,N,98.0,E,Asia,,,,,,,,,,,,
E,21,E6670,,39.0,N,102.0,E,Asia,,,,,,,,,,,,
E,22,E6671,,37.0,N,103.5,E,Asia,,,,,,,,,,,,
E,23,E6672,,37.0,N,103.5,E,Asia,,,,,,,,,,,,
E,24,E6672.1,,36.6,N,101.8,E,Asia,,,,,,,,,,,,
E,25,E6672.2,,35.8,N,90.6,E,Asia,,,,,,,,,,,,
E,26,E6672.3,,36.6,N,101.8,E,Asia,,,,,,,,,,,,
E,27,E6672.4,,36.3,N,102.8,E,Asia,,,,,,,,,,,,
E,28,E6673,,38.0,N,105.0,E,Asia,,,,,,,,,,,,
E,29,E6674,,42.0,N,78.0,E,Asia,,,,,,,,,,,,
E,30,E6675,,50.0,N,80.0,E,Asia,,,,,,,,,,,,
E,31,E6676,,50.0,N,64.0,E,Asia,,,,,,,,,,,,
E,32,E6671.1,,41.0,N,70.0,E,Asia,,,,,,,,,,,,
E,33,E6676.2,,42.0,N,81.0,E,Asia,,,,,,,,,,,,
E,34,E6676.3,,60.0,N,89.0,E,Asia,,,,,,,,,,,,
E,35,E6676.4,,60.0,N,89.0,E,Asia,,,,,,,,,,,,
E,36,E6677,,34.0,N,54.0,E,Asia,,,,,,,,,,,,
E,37,E6678,,36.0,N,52.0,E,Asia,,,,,,,,,,,,
E,38,E6679,,28.0,N,51.0,E,Asia,,,,,,,,,,,,
E,39,E6679.1,,26.0,N,57.5,E,Asia,,,,,,,,,,,,
E,40,E6680,,33.0,N,45.0,E,Asia,,,,,,,,,,,,
E,41,E6681,,35.0,N,41.0,E,,,,,,,,,,,,,
E,42,E6681.1,,36.0,N,42.8,E,Asia,,,,,,,,,,,,
E,43,E6682,,35.0,N,50.0,E,Asia,,,,,,,,,,,,
E,44,E6683,,35.0,N,55.0,E,Asia,,,,,,,,,,,,
E,45,E6684,,17.0,N,54.0,E,Asia,,,,,,,,,,,,
E,46,E6685,,20.5,N,57.5,E,Asia,,,,,,,,,,,,
E,47,E6686,,15.0,N,50.0,E,Asia,,,,,,,,,,,,
E,48,E6686.1,,26.0,N,66.5,E,Asia,,,,,,,,,,,,
E,49,E6687,,21.0,N,55.0,E,Asia,,,,,,,,,,,,
E,50,E6687.1,,29.0,N,35.0,E,Asia,,,,,,,,,,,,
E,51,E6687.2,,17.5,N,43.0,E,Asia,,,,,,,,,,,,
E,52,E6687.3,,9.0,N,97.0,E,Asia,,,,,,,,,,,,
E,53,E6688,,37.0,N,43.0,E,Asia,,,,,,,,,,,,
E,54,E6689,,40.0,N,32.0,E,Asia,,,,,,,,,,,,
E,55,E6690,,41.0,N,32.0,E,Asia,,,,,,,,,,,,
E,56,E6691,,38.0,N,31.0,E,Asia,,,,,,,,,,,,
E,57,E6692,,39.6,N,30.3,E,Asia,,,,,,,,,,,,
E,58,E6693,,39.3,N,28.0,E,Asia,,,,,,,,,,,,
E,59,E6694,,39.3,N,29.25,E,Asia,,,,,,,,,,,,
E,60,E6695,,39.0,N,30.0,E,Asia,,,,,,,,,,,,
E,61,E6696,,40.0,N,32.0,E,Asia,,,,,,,,,,,,
E,62,E6697,,15.0,N,43.0,E,Asia,,,,,,,,,,,,
E,63,E6698,,15.0,N,50.0,E,,,,,,,,,,,,,
E,64,E6699,,-30.0,S,136.0,E,Australia,,,,,,,,,,,,
E,65,E6700,,43.0,N,24.0,E,Europe,,,,,,,,,,,,
E,66,E6701,,48.0,N,25.0,E,Europe,,,,,,,,,,,,
E,67,E6702,,49.0,N,24.0,E,Europe,,,,,,,,,,,,
E,68,E6703,,45.0,N,26.0,E,Europe,,,,,,,,,,,,
E,69,E6703.1,,50.0,N,12.5,E,Europe,,,,,,,,,,,,
E,70,E6704,,43.0,N,3.0,E,Europe,,,,,,,,,,,,
E,71,E6705,,49.0,N,8.0,E,Europe,,,,,,,,,,,,
E,72,E6706,,38.0,N,26.5,E,Europe,,,,,,,,,,,,
E,73,E6707,,50.0,N,20.0,E,Europe,,,,,,,,,,,,
E,74,E6708,,47.0,N,27.5,E,Europe,,,,,,,,,,,,
E,75,E6708.1,,45.75,N,24.0,E,Europe,,,,,,,,,,,,
E,76,E6709,,48.0,N,20.0,E,Europe,,,,,,,,,,,,
E,77,E6710,,42.0,N,-2.0,W,Europe,,,,,,,,,,,,
E,78,E6710.1,,41.0,N,0.0,,Europe,,,,,,,,,,,,
E,79,E6711,,37.0,N,-2.0,W,Europe,,,,,,,,,,,,
E,80,E6712,,40.0,N,-4.0,W,Europe,,,,,,,,,,,,
E,81,E6713,,40.0,N,-1.0,W,Europe,,,,,,,,,,,,
E,82,E6714,,41.75,N,-4.0,W,Europe,,,,,,,,,,,,
E,83,E6715,,47.0,N,8.0,E,Europe,,,,,,,,,,,,
E,84,E6715.1,,43.5,N,20.0,E,,,,,,,,,,,,,
E,85,E6716,,22.0,N,-79.0,W,North America,,,,,,,,,,,,
E,86,E6717,,19.0,N,-72.0,W,North America,,,,,,,,,,,,
E,87,E6718,,31.0,N,-111.0,W,North America,,,,,,,,,,,,
E,88,E6719,,24.0,N,-111.75,W,North America,,,,,,,,,,,,
E,89,E6720,,35.0,N,-114.0,W,North America,,,,,,,,,,,,
E,90,E6721,,32.0,N,-110.0,W,North America,,,,,,,,,,,,
E,91,E6722,,36.0,N,-114.0,W,North America,,,,,,,,,,,,
E,92,E6723,,34.5,N,-114.0,W,North America,,,,,,,,,,,,
E,93,E6724,,36.5,N,-114.0,W,North America,,,,,,,,,,,,
E,94,E6725,,32.0,N,-110.0,W,North America,,,,,,,,,,,,
E,95,E6726,,35.0,N,-117.0,W,North America,,,,,,,,,,,,
E,96,E6727,,35.0,N,-118.0,W,North America,,,,,,,,,,,,
E,97,E6728,,33.0,N,-115.0,W,North America,,,,,,,,,,,,
E,98,E6729,,34.0,N,-119.0,W,North America,,,,,,,,,,,,
E,99,E6730,,34.0,N,-118.0,W,North America,,,,,,,,,,,,
E,100,E6731,,36.0,N,-117.0,W,North America,,,,,,,,,,,,
E,101,E6732,,35.5,N,-116.5,W,North America,,,,,,,,,,,,
E,102,E6733,,35.0,N,-116.5,W,North America,,,,,,,,,,,,
E,103,E6734,,37.0,N,-107.0,W,North America,,,,,,,,,,,,
E,104,E6735,,36.0,N,-106.0,W,North America,,,,,,,,,,,,
E,105,E6736,,37.0,N,-115.0,W,North America,,,,,,,,,,,,
E,106,E6737,,36.0,N,-114.0,W,North America,,,,,,,,,,,,
E,107,E6738,,36.0,N,-115.0,W,North America,,,,,,,,,,,,
E,108,E6739,,47.0,N,-104.0,W,North America,,,,,,,,,,,,
E,109,E6740,,45.0,N,-117.0,W,North America,,,,,,,,,,,,
E,110,E6741,,41.0,N,-105.0,W,North America,,,,,,,,,,,,
E,111,E6742,,-27.0,S,-66.0,W,South America,,,,,,,,,,,,
E,112,E6743,,-25.0,S,-67.0,W,South America,,,,,,,,,,,,
E,113,E6744,,-23.0,S,-66.0,W,South America,,,,,,,,,,,,
E,114,E6745,,-23.0,S,-66.5,W,South America,,,,,,,,,,,,
E,115,E6745.1,,-39.0,S,-59.0,W,South America,,,,,,,,,,,,
E,116,E6746,,-15.0,S,-65.0,W,South America,,,,,,,,,,,,
E,117,E6747,,-16.0,S,-71.0,W,South America,,,,,,,,,,,,
E,118,E6748,,-17.25,S,-68.3,W,South America,,,,,,,,,,,,
E,119,E6749,,-23.0,S,-70.0,W,South America,,,,,,,,,,,,
E,120,E6750,,-22.0,S,-68.0,W,South America,,,,,,,,,,,,
E,121,E6750.1,,-21.5,S,-69.5,W,South America,,,,,,,,,,,,
E,122,E6750.2,,-22.0,S,-69.0,W,South America,,,,,,,,,,,,
E,123,E6751,,-1.0,S,-78.0,W,South America,,,,,,,,,,,,
E,124,E6752,,-15.0,S,-72.0,W,South America,,,,,,,,,,,,
E,125,E6750.3,,10.0,N,-69.0,W,South America,,,,,,,,,,,,
E,126,E6752.1,,10.55,N,-70.0,W,South America,,,,,,,,,,,,
CA,127,CA6753,,0.0,,35.0,E,Africa,,,,,,,,Calcretes,,,,
CA,128,CA6754,,0.0,,34.5,E,Africa,,,,,,,,,,,,
CA,129,CA6754.1,,2.5,N,37.0,E,Africa,,,,,,,,,,,,
CA,130,CA6755,,-17.0,S,17.0,E,Africa,,,,,,,,,,,,
CA,131,CA6756,,-25.0,S,15.0,E,Africa,,,,,,,,,,,,
CA,132,CA6757,,32.0,N,77.0,E,Asia,,,,,,,,,,,,
CA,133,CA6758,,34.5,N,76.0,E,Asia,,,,,,,,,,,,
CA,134,CA6759,,31.0,N,35.0,E,Asia,,,,,,,,,,,,
CA,135,CA6760,,27.0,N,84.0,E,Asia,,,,,,,,,,,,
CA,136,CA6761,,30.0,N,72.0,E,Asia,,,,,,,,,,,,
CA,137,CA6762,,30.0,N,70.0,E,Asia,,,,,,,,,,,,
CA,138,CA6763,,33.0,N,73.0,E,Asia,,,,,,,,,,,,
CA,139,CA6763.1,,31.0,N,70.3,E,Asia,,,,,,,,,,,,
CA,140,CA6764,,-25.0,S,153.0,E,Australia,,,,,,,,,,,,
CA,141,CA6765,,45.0,N,3.0,E,,,,,,,,,,,,,
CA,142,CA6766,,43.5,N,1.5,E,Europe,,,,,,,,,,,,
CA,143,CA6766.1,,47.0,N,20.0,E,Europe,,,,,,,,,,,,
CA,144,CA6767,,40.0,N,-4.0,W,Europe,,,,,,,,,,,,
CA,145,CA6768,,47.0,N,8.0,E,Europe,,,,,,,,,,,,
CA,146,CA6769,,40.0,N,-102.5,W,North America,,,,,,,,,,,,
CA,147,CA6770,,38.0,N,-102.0,W,North America,,,,,,,,,,,,
CA,148,CA6773,,41.0,N,-102.0,W,,,,,,,,,,,,,
CA,149,CA6773.1,,42.0,N,-103.0,W,,,,,,,,,,,,,
CA,150,CA6771,,36.0,N,-106.0,W,North America,,,,,,,,,,,,
CA,151,CA6772,,35.0,N,-103.5,W,North America,,,,,,,,,,,,
CA,152,CA6774,,44.5,N,-120.0,W,North America,,,,,,,,,,,,
CA,153,CA6775,,33.0,N,-102.0,W,North America,,,,,,,,,,,,
T,154,T6776,,-62.0,S,-58.0,W,Antarctica,,,,,,,,Tillites,,,,
T,155,T6776.1,,-64.0,S,-58.0,W,Antarctica,,,,,,,,,,,,
T,156,T6776.2,,-70.0,S,70.0,E,Antarctica,,,,,,,,,,,,
T,157,T6776.3,,-70.0,S,68.5,E,Antarctica,,,,,,,,,,,,
T,158,T6777,,60.0,N,-142.0,W,North America,,,,,,,,,,,,
T,159,T6778,,62.0,N,-142.0,W,North America,,,,,,,,,,,,
T,160,T6779,,64.0,N,-153.0,W,North America,,,,,,,,,,,,
T,161,T6780,,-47.0,S,-72.0,W,South America,,,,,,,,,,,,
D,162,D6781.1,,68.0,N,-11.0,W,Europe,,,,,,,,Dropstones,,,,
D,163,D6781,,67.0,N,-5.0,W,Europe,,,,,,,,,,,,
D,164,D6782,,63.0,N,-38.5,W,North America,,,,,,,,,,,,
G,165,G6783,,52.0,N,157.0,E,Asia,,,,,,,,Glendonites,,,,
G,166,G6784,,50.0,N,143.0,E,Asia,,,,,,,,,,,,
G,167,G6785,,59.0,N,164.0,E,Asia,,,,,,,,,,,,
G,168,G6786,,54.5,N,143.0,E,Asia,,,,,,,,,,,,
G,169,G6787,,43.0,N,143.0,E,Asia,,,,,,,,,,,,
G,170,G6788,,38.0,N,-119.0,W,North America,,,,,,,,,,,,
G,171,G6789,,40.0,N,-119.0,W,North America,,,,,,,,,,,,
G,172,G6790,,38.0,N,-118.0,W,North America,,,,,,,,,,,,
G,173,G6791,,39.0,N,-119.0,W,North America,,,,,,,,,,,,
G,174,G6792,,46.0,N,-154.0,W,North America,,,,,,,,,,,,
C,175,C6793,,36.0,N,2.0,E,Africa,,,,,,,,Coals,,,,
C,176,C6794,,36.0,N,-7.0,W,Africa,,,,,,,,,,,,
C,177,C6795,,34.0,N,-3.0,W,Africa,,,,,,,,,,,,
C,178,C6796,,35.0,N,-5.0,W,Africa,,,,,,,,,,,,
C,179,C6797,,4.0,N,9.5,E,Africa,,,,,,,,,,,,
C,180,C6798,,12.0,N,37.0,E,Africa,,,,,,,,,,,,
C,181,C6799,,15.0,N,38.5,E,Africa,,,,,,,,,,,,
C,182,C6800,,0.0,,40.0,E,Africa,,,,,,,,,,,,
C,183,C6800.1,,29.0,N,19.0,E,Africa,,,,,,,,,,,,
C,184,C6800.2,,28.3,N,12.6,E,Africa,,,,,,,,,,,,
C,185,C6801,,32.0,N,-6.0,W,Africa,,,,,,,,,,,,
C,186,C6802,,34.0,N,-5.0,W,Africa,,,,,,,,,,,,
C,187,C6803,,6.0,N,6.0,E,Africa,,,,,,,,,,,,
C,188,C6804,,15.0,N,-15.0,W,Africa,,,,,,,,,,,,
