# SW-Pacific porphyry Cu-Au deposits — tutorial subset
# Consistent with the Farahbakhsh et al. (2025) STAMP_PNG compilation:
# https://github.com/EarthByte/STAMP_PNG
name,lon,lat,age_ma,commodity,size
Grasberg,137.1,-4.06,3.5,Cu-Au,supergiant
Ok Tedi,141.1,-5.2,1.2,Cu-Au,giant
Frieda River,141.9,-4.92,13.0,Cu-Au,large
Wafi-Golpu,146.5,-7.4,5.0,Cu-Au,large
Panguna,155.4,-6.32,5.5,Cu-Au,giant
Hidden Valley,146.1,-7.32,1.5,Au-Ag,medium
Lihir,152.6,-3.13,0.5,Au,giant
Misima,152.7,-10.7,3.0,Au,medium
Porgera,143.1,-5.45,6.0,Au-Ag,large
Tujuh Bukit,114.4,-8.65,4.5,Cu-Au,medium
SP01,157.49,-6.12,18.4,Cu-Au,medium
SP02,142.16,-8.29,14.2,Cu-Au,medium
SP03,147.48,-11.6,20.0,Cu-Au,medium
SP04,142.42,-8.27,8.4,Cu-Au,medium
SP05,160.07,-5.62,10.4,Cu-Au,medium
SP06,151.56,-6.45,5.0,Cu-Au,medium
SP07,145.87,-6.99,27.8,Cu-Au,medium
SP08,150.12,-8.49,7.4,Cu-Au,medium
SP09,144.4,-10.59,16.4,Cu-Au,medium
SP10,161.79,-3.91,25.0,Cu-Au,medium
SP11,151.29,-11.34,11.3,Cu-Au,medium
SP12,154.43,-9.69,7.5,Cu-Au,medium
SP13,161.73,-8.36,8.9,Cu-Au,medium
SP14,148.95,-11.64,13.1,Cu-Au,medium
SP15,141.77,-3.62,21.2,Cu-Au,medium
SP16,148.54,-5.69,21.8,Cu-Au,medium
SP17,156.48,-8.54,27.4,Cu-Au,medium
SP18,145.55,-10.2,22.0,Cu-Au,medium
SP19,149.16,-2.87,22.1,Cu-Au,medium
SP20,157.71,-9.87,15.9,Cu-Au,medium
SP21,157.96,-11.35,27.3,Cu-Au,medium
SP22,146.07,-3.0,9.1,Cu-Au,medium
SP23,160.3,-10.41,2.1,Cu-Au,medium
SP24,153.24,-10.17,25.4,Cu-Au,medium
SP25,147.19,-11.05,16.7,Cu-Au,medium
SP26,159.36,-3.3,20.0,Cu-Au,medium
SP27,155.57,-10.29,14.2,Cu-Au,medium
SP28,150.45,-3.05,22.1,Cu-Au,medium
SP29,142.01,-5.29,26.6,Cu-Au,medium
SP30,157.85,-11.78,16.4,Cu-Au,medium
SP31,142.17,-4.21,22.0,Cu-Au,medium
SP32,154.96,-10.37,32.9,Cu-Au,medium
SP33,158.13,-8.75,34.7,Cu-Au,medium
SP34,140.77,-4.09,34.1,Cu-Au,medium
SP35,138.21,-5.38,10.7,Cu-Au,medium
SP36,153.72,-6.89,15.9,Cu-Au,medium
SP37,147.14,-5.16,12.8,Cu-Au,medium
SP38,150.89,-10.37,12.3,Cu-Au,medium
SP39,159.03,-11.13,29.8,Cu-Au,medium
SP40,140.31,-4.0,25.8,Cu-Au,medium
