# Boucot et al. 2022 Phanerozoic Köppen-Geiger — tutorial subset @ 410 Ma
# Provenance: representative tutorial reconstruction of the published surface;
# replace with the authoritative HydroShare download for real work.
plate_id,lat,lon,koppen_class
201,-85,-126,EF
201,-85,-120,EF
201,-85,-114,EF
201,-85,-108,EF
201,-85,-102,EF
201,-85,-96,EF
201,-85,-90,EF
201,-85,-84,EF
201,-85,-78,EF
201,-85,-72,EF
201,-85,-66,EF
201,-85,-60,EF
201,-85,-54,EF
201,-85,-48,EF
201,-85,-42,EF
201,-85,-36,EF
201,-85,-30,EF
201,-85,-24,EF
201,-85,-18,EF
201,-85,-12,EF
201,-85,-6,EF
201,-85,0,EF
101,-85,6,EF
101,-85,12,EF
101,-85,18,EF
101,-85,24,EF
101,-85,30,EF
101,-85,36,EF
101,-85,42,EF
101,-85,48,EF
101,-85,54,EF
101,-85,60,EF
101,-85,66,EF
101,-85,72,EF
101,-85,78,EF
101,-85,84,EF
101,-85,90,EF
101,-85,96,EF
101,-85,102,EF
101,-85,108,EF
101,-85,114,EF
101,-85,120,EF
101,-85,126,EF
201,-79,-126,EF
201,-79,-120,EF
201,-79,-114,EF
201,-79,-108,EF
201,-79,-102,EF
201,-79,-96,EF
201,-79,-90,EF
201,-79,-84,EF
201,-79,-78,EF
201,-79,-72,EF
201,-79,-66,EF
201,-79,-60,EF
201,-79,-54,EF
201,-79,-48,EF
201,-79,-42,EF
201,-79,-36,EF
201,-79,-30,EF
201,-79,-24,EF
201,-79,-18,EF
201,-79,-12,EF
201,-79,-6,EF
201,-79,0,EF
101,-79,6,EF
101,-79,12,EF
101,-79,18,EF
101,-79,24,EF
101,-79,30,EF
101,-79,36,EF
101,-79,42,EF
101,-79,48,EF
101,-79,54,EF
101,-79,60,EF
101,-79,66,EF
101,-79,72,EF
101,-79,78,EF
101,-79,84,EF
101,-79,90,EF
101,-79,96,EF
101,-79,102,EF
101,-79,108,EF
101,-79,114,EF
101,-79,120,EF
101,-79,126,EF
201,-73,-132,EF
201,-73,-126,EF
201,-73,-120,EF
201,-73,-114,EF
201,-73,-108,EF
201,-73,-102,EF
201,-73,-96,EF
201,-73,-90,EF
201,-73,-84,EF
201,-73,-78,EF
201,-73,-72,EF
201,-73,-66,EF
201,-73,-60,EF
201,-73,-54,EF
201,-73,-48,EF
201,-73,-42,EF
201,-73,-36,EF
201,-73,-30,EF
201,-73,-24,EF
201,-73,-18,EF
201,-73,-12,EF
201,-73,-6,EF
201,-73,0,EF
101,-73,6,EF
101,-73,12,EF
101,-73,18,EF
101,-73,24,EF
101,-73,30,EF
101,-73,36,EF
101,-73,42,EF
101,-73,48,EF
101,-73,54,EF
101,-73,60,EF
101,-73,66,EF
101,-73,72,EF
101,-73,78,EF
101,-73,84,EF
101,-73,90,EF
101,-73,96,EF
101,-73,102,EF
101,-73,108,EF
101,-73,114,EF
101,-73,120,EF
101,-73,126,EF
101,-73,132,EF
201,-67,-132,ET
201,-67,-126,ET
201,-67,-120,ET
201,-67,-114,ET
201,-67,-108,ET
201,-67,-102,ET
201,-67,-96,ET
201,-67,-90,ET
201,-67,-84,ET
201,-67,-78,ET
201,-67,-72,ET
201,-67,-66,ET
201,-67,-60,ET
201,-67,-54,ET
201,-67,-48,ET
201,-67,-42,ET
201,-67,-36,ET
201,-67,-30,ET
201,-67,-24,ET
201,-67,-18,ET
201,-67,-12,ET
201,-67,-6,ET
201,-67,0,ET
101,-67,6,ET
101,-67,12,ET
101,-67,18,ET
101,-67,24,ET
101,-67,30,ET
101,-67,36,ET
101,-67,42,ET
101,-67,48,ET
101,-67,54,ET
