Age_Ma,Lat,Lon,Tecto_Prov
0.00185,50.77,-120.549,Orogen
0.00185,50.77,-120.549,Orogen
0.00185,50.77,-120.549,Orogen
465.0,18.12,-98.08,Orogen
465.0,18.12,-98.08,Orogen
465.0,18.12,-98.08,Orogen
465.0,18.1,-98.0,Orogen
465.0,18.13,-98.0,Orogen
465.0,18.14,-98.0,Orogen
3.0,43.87,-111.75,Extended Crust
3.0,43.87,-111.75,Extended Crust
3.0,43.87,-111.75,Extended Crust
3.0,43.87,-111.75,Extended Crust
3.0,43.87,-111.75,Extended Crust
3.0,43.87,-111.75,Extended Crust
3.0,43.87,-111.75,Extended Crust
3.0,43.87,-111.75,Extended Crust
3.0,43.87,-111.75,Extended Crust
3.0,43.87,-111.75,Extended Crust
3.0,43.87,-111.75,Extended Crust
3.0,43.87,-111.75,Extended Crust
3.0,43.87,-111.75,Extended Crust
3.0,43.87,-111.75,Extended Crust
148.5,37.47405,-120.13163,Orogen
148.5,37.42857,-120.16772,Orogen
148.5,37.4022,-120.02197,Orogen
148.5,37.40938,-120.11898,Orogen
148.5,37.40938,-120.11898,Orogen
15.9,42.5455868,-118.5645679,Extended Crust
15.9,42.5434778,-118.5662671,Extended Crust
15.9,42.5434778,-118.5662671,Extended Crust
15.9,42.5434778,-118.5662671,Extended Crust
15.9,42.5428817,-118.566105,Extended Crust
15.9,42.5962066,-118.5495541,Extended Crust
15.9,42.5960817,-118.5497548,Extended Crust
15.9,42.5959274,-118.5501618,Extended Crust
15.9,42.5959274,-118.5501618,Extended Crust
15.9,42.5960381,-118.5504239,Extended Crust
15.9,42.5966775,-118.5514815,Extended Crust
15.9,42.5984034,-118.5558017,Extended Crust
15.9,42.5983757,-118.5560089,Extended Crust
15.9,42.5984677,-118.5563049,Extended Crust
15.9,42.5985532,-118.5563977,Extended Crust
15.9,42.599485,-118.5626577,Extended Crust
15.9,42.6000785,-118.5636139,Extended Crust
15.9,42.6000785,-118.5636139,Extended Crust
15.9,42.5469057,-118.5458982,Extended Crust
15.9,42.5543802,-118.5582934,Extended Crust
15.9,42.5805232,-118.5890776,Extended Crust
15.9,42.5823495,-118.587852,Extended Crust
15.9,42.582219,-118.588017,Extended Crust
15.9,42.5830123,-118.58703,Extended Crust
15.9,42.5830123,-118.58703,Extended Crust
15.9,42.5842537,-118.5861859,Extended Crust
15.9,42.582715,-118.584731,Extended Crust
15.9,42.581518,-118.583967,Extended Crust
15.9,42.3237815,-118.6915945,Extended Crust
15.9,42.323589,-118.692483,Extended Crust
15.9,42.682046,-118.5102422,Extended Crust
15.9,42.6824268,-118.5105533,Extended Crust
15.9,42.6826584,-118.5107791,Extended Crust
15.9,42.6844422,-118.5122645,Extended Crust
15.9,42.6847364,-118.5175416,Extended Crust
15.9,42.6591272,-118.4157391,Extended Crust
15.9,42.6599715,-118.4138528,Extended Crust
15.9,42.380097,-118.6626,Extended Crust
15.9,42.5821687,-118.5980952,Extended Crust
15.9,42.5821687,-118.5980952,Extended Crust
15.9,42.5856401,-118.5944694,Extended Crust
15.9,42.5493804,-118.6068368,Extended Crust
15.9,42.54908,-118.60967,Extended Crust
15.9,42.538623,-118.6043942,Extended Crust
15.9,42.538623,-118.6043942,Extended Crust
15.9,42.538623,-118.6043942,Extended Crust
15.9,42.538623,-118.6043942,Extended Crust
15.9,42.5397056,-118.6038785,Extended Crust
15.9,42.541111,-118.602568,Extended Crust
15.9,42.5413078,-118.6018814,Extended Crust
15.9,42.541988,-118.6014659,Extended Crust
15.9,42.5422158,-118.6013578,Extended Crust
15.9,42.5425891,-118.6009076,Extended Crust
15.9,42.5441748,-118.6009479,Extended Crust
15.9,42.5457259,-118.5998312,Extended Crust
15.9,42.5458382,-118.599412,Extended Crust
15.9,42.5460863,-118.5988429,Extended Crust
15.9,42.5470405,-118.5989237,Extended Crust
15.9,42.5469534,-118.599042,Extended Crust
15.9,42.5469534,-118.599042,Extended Crust
0.0018,46.2296,-122.1765,Continental Arc
0.0018,46.2122,-122.1597,Continental Arc
0.0018,46.2155,-122.1526,Continental Arc
0.0018,46.2271,-122.166,Continental Arc
0.0018,46.2126,-122.1766,Continental Arc
0.0018,46.2278,-122.1711,Continental Arc
0.0018,46.2286,-122.1719,Continental Arc
0.0018,46.2153,-122.2331,Continental Arc
0.0018,46.2219,-122.1897,Continental Arc
0.0018,46.2186,-122.157,Continental Arc
0.0018,46.1653,-122.0933,Continental Arc
0.0018,46.1759,-122.2186,Continental Arc
0.0018,46.2381,-122.1802,Continental Arc
0.0018,46.2325,-122.1779,Continental Arc
0.0018,46.2369,-122.2075,Continental Arc
0.0018,46.2228,-122.1655,Continental Arc
0.0018,46.2228,-122.1655,Continental Arc
0.0018,46.2228,-122.1655,Continental Arc
0.0018,46.2228,-122.1655,Continental Arc
0.0018,46.2278,-122.1711,Continental Arc
0.0018,46.234,-122.1526,Continental Arc
0.0018,46.2186,-122.157,Continental Arc
0.0018,46.2186,-122.157,Continental Arc
0.0018,46.2195,-122.1557,Continental Arc
0.0018,46.2415,-122.1626,Continental Arc
0.0018,46.2303,-122.1538,Continental Arc
0.0018,46.2303,-122.1538,Continental Arc
0.0018,46.2138,-122.1505,Continental Arc
0.0018,46.0577,-122.2559,Continental Arc
0.0018,46.0577,-122.2559,Continental Arc
0.0018,46.0577,-122.2559,Continental Arc
0.0018,46.1137,-122.3292,Continental Arc
0.0018,46.1436,-122.202,Continental Arc
0.0018,46.1436,-122.202,Continental Arc
0.0018,46.1437,-122.202,Continental Arc
0.0018,46.1425,-122.2248,Continental Arc
0.0018,46.1486,-122.2159,Continental Arc
0.0018,46.2131,-122.1767,Continental Arc
0.0018,46.2186,-122.157,Continental Arc
0.0018,46.2186,-122.157,Continental Arc
0.0018,46.2071,-122.1669,Continental Arc
25.5,27.3205,-108.3684,Orogen
25.5,27.3207,-108.3684,Orogen
25.5,27.3175,-108.372,Orogen
25.5,27.4111,-108.3081,Orogen
25.5,27.0,-108.0,Orogen
25.5,27.0,-108.0,Orogen
25.5,27.0,-108.0,Orogen
4.63,37.1,-116.7,Extended Crust
0.085,47.1472,-122.6377,Orogen
0.085,47.1472,-122.6377,Orogen
0.085,47.1472,-122.6377,Orogen
28.0,23.14658,-101.8299,Orogen
24.92,40.4038,-117.1975,Extended Crust
28.0,40.2861,-116.5952,Extended Crust
33.82,40.2201,-117.4062,Extended Crust
28.0,40.2186,-117.4083,Extended Crust
28.0,40.1664,-117.4449,Extended Crust
28.0,40.1678,-117.4339,Extended Crust
28.0,40.2846,-117.2291,Extended Crust
28.0,40.2733,-117.1358,Extended Crust
28.0,40.2737,-117.1402,Extended Crust
28.0,40.2862,-117.1589,Extended Crust
28.0,40.2856,-117.1613,Extended Crust
28.0,40.2856,-117.1613,Extended Crust
28.0,40.2771,-117.5424,Extended Crust
28.0,40.2892,-117.5497,Extended Crust
28.0,39.9682,-117.2674,Extended Crust
28.0,39.9884,-117.2953,Extended Crust
28.0,39.9823,-117.2961,Extended Crust
28.0,39.98,-117.2951,Extended Crust
28.0,39.9761,-117.2961,Extended Crust
28.0,39.9761,-117.2961,Extended Crust
28.0,40.2254,-117.0938,Extended Crust
28.0,40.2834,-117.2249,Extended Crust
28.0,40.31183,-117.23731,Extended Crust
28.0,40.3052,-117.26203,Extended Crust
28.0,40.30232,-117.26053,Extended Crust
28.0,40.28461,-117.23048,Extended Crust
28.0,40.43109,-117.23368,Extended Crust
28.0,40.7219,-116.7558,Extended Crust
28.0,40.8553,-116.8503,Extended Crust
28.0,40.7606,-116.8606,Extended Crust
28.0,40.5836,-116.6758,Extended Crust
28.0,40.5408,-116.7036,Extended Crust
28.0,40.5647,-116.6964,Extended Crust
28.0,40.5964,-116.705,Extended Crust
28.0,40.5683,-116.7083,Extended Crust
28.0,40.4808,-117.0621,Extended Crust
28.0,40.3479,-117.2253,Extended Crust
28.0,40.4136,-117.22,Extended Crust
85.0,29.86176,-115.36987,Orogen
85.0,29.86176,-115.36987,Orogen
85.0,29.86526,-115.37141,Orogen
85.0,29.86333,-115.37007,Orogen
85.0,29.86504,-115.31807,Orogen
85.0,29.90098,-115.36028,Orogen
85.0,29.90373,-115.36323,Orogen
85.0,29.88783,-115.37157,Orogen
85.0,29.88597,-115.3674,Orogen
85.0,29.87116,-115.37124,Orogen
85.0,29.901,-115.35908,Orogen
85.0,29.89603,-115.36308,Orogen
85.0,29.91721,-115.30987,Orogen
85.0,29.90709,-115.36107,Orogen
85.0,29.90631,-115.3624,Orogen
85.0,29.91644,-115.31751,Orogen
85.0,29.92079,-115.31029,Orogen
85.0,29.91224,-115.3109,Orogen
85.0,29.91224,-115.3109,Orogen
85.0,29.88028,-115.37385,Orogen
85.0,29.88055,-115.37418,Orogen
85.0,29.88197,-115.37493,Orogen
85.0,29.88197,-115.37493,Orogen
85.0,29.91331,-115.31058,Orogen
85.0,29.91161,-115.29312,Orogen
85.0,29.94815,-115.32453,Orogen
85.0,29.94368,-115.3254,Orogen
85.0,29.91704,-115.30942,Orogen
85.0,29.92179,-115.31074,Orogen
85.0,29.97127,-115.23353,Orogen
85.0,29.97128,-115.24521,Orogen
85.0,29.96913,-115.24719,Orogen
85.0,29.93487,-115.32374,Orogen
85.0,29.92179,-115.31074,Orogen
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
2.08,44.0,-111.0,Extended Crust
